Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 Y	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 X	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 Y	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 X	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 Y	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 X	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 Y	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 X	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 Y	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 X	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 Y
559.4451244	0.000430005643541	372.745818	0.000334954893343	186.699312	0.000147463567288	560.0979192	0.00246668577871	558.1395349	0.00429046456909	0.0	3.52282305836e-18
1861.117911	0.00844373435558	1303.631171	0.000511483089889	1863.729108	0.000366576734566	1680.293758	0.000603172584712	1304.936761	0.0089624559508	1070.63197	-0.0190383812545
2979.355365	0.00465766489763	2794.614443	0.00065607082609	3354.71238	0.0173530061122	2985.230518	0.0306396895854	2424.479804	0.0439433953802	2408.921933	0.0426324676034
4467.727458	0.0193526305619	4098.245614	0.0140497323762	4473.602604	0.0361671244753	3546.634027	0.0378591792743	2986.536108	0.0579781938228	4014.869888	0.149682896149
5772.011424	0.0254239811484	5215.830273	0.029734137904	5779.192176	0.0650327172341	4294.084047	0.0575575974325	3923.296614	0.0900860787983	4014.869888	0.113785460616
6889.596083	0.0356262451806	6334.720522	0.0424486980411	6712.6887	0.0845661724804	5040.881273	0.0844087394872	4484.700122	0.116063370035	4282.527881	0.111308711046
8007.180743	0.0481940585057	7826.356589	0.0658055051708	7647.490836	0.0992841025054	5975.683395	0.114259940546	4861.362709	0.121332154363	4550.185874	0.0983259803792
9125.418197	0.0591332907707	9317.992656	0.0935465287717	8582.945724	0.111822073145	6540.350877	0.112829784764	5614.035088	0.13572010134	5085.501859	0.0915619011262
10243.65565	0.0718229148147	10624.8878	0.110805975835	9331.048548	0.123686455584	7104.365565	0.115095557953	5805.956752	0.119276479534	5353.159851	0.0770455865886
11363.19869	0.0785721489988	12117.82946	0.135398831664	10267.80905	0.12973650224	7667.074663	0.124206954627	6371.27703	0.124843691756	5620.817844	0.0823441794114
12482.08894	0.0901433707146	13798.77601	0.155730001956	10830.51817	0.129635298416	8045.695634	0.111418488327	6747.939616	0.129014866477	5620.817844	0.0567031540304
13600.97919	0.102556625779	14923.54141	0.146252543932	11023.09261	0.102666737118	8611.668707	0.10219734563	6752.50918	0.104712513855	5888.475836	0.0356015738333
14533.82293	0.110890168652	15484.29213	0.150098461627	11401.06079	0.0871722966017	8988.984088	0.0956135689197	7317.829457	0.107873332057	6156.133829	-0.00681725288473
15840.06528	0.121476724482	16607.75194	0.146394666537	12151.12198	0.0871994679335	9182.211342	0.0676942312532	7323.051816	0.080082954426	6156.133829	-0.0375864833417
16400.81599	0.12080886402	17543.20685	0.146570213264	12713.8311	0.0857986069239	9746.878825	0.0636926343501	7516.27907	0.0552455362921	6156.133829	-0.0632275097377
17146.96042	0.128518277199	18109.83272	0.117122016963	13277.84576	0.0768536019489	10126.80539	0.0417718876713	8268.298654	0.064829390558	6959.107807	-0.0212087266322
18080.45696	0.133463482771	18860.54672	0.103369800173	13470.42024	0.0491921390892	10690.82007	0.0394200188564	9020.318237	0.0706334574387	6959.107807	-0.0417215469362
19572.74582	0.148339083936	19612.5663	0.0818758511907	13847.73563	0.035759349837	11256.79315	0.0253674065619	9399.592003	0.054663111323	7226.765799	-0.0516657594423
20506.89514	0.148956346807	20179.84496	0.0475563901994	14411.0975	0.0291302157029	11446.75643	0.0134043913774	9591.513668	0.0341137723469	7494.423792	-0.062470685152
21254.99796	0.144756552157	21117.91106	0.0297919360409	14975.76499	0.0148471260963	11826.68299	-0.0109447779952	9600.0	-0.0111740874632	7494.423792	-0.093239915609
21817.05426	0.135898379496	22055.97715	0.0109722865392	15541.08527	-0.00360188126707	12203.34557	-0.0183408084217	9976.662587	-0.0147105239921	7494.423792	-0.129137351142
22939.20849	0.128748443215	22619.33905	-0.00367189596113	16291.79928	-0.0128545819706	12768.01306	-0.0287267072437	10355.28356	-0.0296645529629	7762.081784	-0.130535332199
23500.612	0.12306227808	24118.15585	-0.0256063420939	16298.3272	-0.0479686724476	13334.63892	-0.0508748351127	10545.24684	-0.0409857852265	8029.739777	-0.143023452874
24248.06202	0.121335653664	24867.56426	-0.0375642423266	16674.9898	-0.0600697097821	14086.65851	-0.0635976973027	10737.1685	-0.063008326513	8297.39777	-0.140941427753
25182.21134	0.11960929471	25616.97266	-0.0501677347307	17051.6524	-0.0724700762434	14462.6683	-0.0707475191135	11113.83109	-0.0693683002773	9100.371747	-0.123968403488
26117.01346	0.113627995803	26553.08038	-0.0632503971635	17428.96778	-0.0886818235809	15026.68299	-0.0824267870592	11865.85067	-0.0777283356579	9368.02974	-0.1146508651
26865.11628	0.106948684234	27488.53529	-0.073729589226	17804.97756	-0.09816441763	15777.39698	-0.0926907840531	12429.21257	-0.0826742436933	10973.9777	-0.0825457146118
27799.26561	0.103603445899	28610.03672	-0.08182224194	18180.98734	-0.107940460702	16340.75887	-0.103371446655	12806.52795	-0.096267864797	11509.29368	-0.0626967513531
28920.11424	0.099540508491	29730.88535	-0.0876189858126	18370.29784	-0.119966141917	16901.50959	-0.100993169721	13556.58915	-0.101169975511	12312.26766	-0.0518786457364
29856.22195	0.0838066527499	31596.57283	-0.0868598079781	18933.65975	-0.131876084695	18210.36312	-0.101385434899	14305.99755	-0.105268299687	13382.89963	-0.0380871397021
30791.02407	0.0748580510847	33464.21869	-0.0998308944727	19309.66952	-0.142514114441	19144.51244	-0.100476046294	15427.49898	-0.101916359937	14453.5316	-0.0349047260468
31727.13178	0.0579321817148	33647.65402	-0.0831143309118	19874.33701	-0.162509968261	20822.19502	-0.0836462591591	16545.73643	-0.0857556753713	16059.47955	-0.00747122800178
32849.28601	0.0434948799232	36260.13872	-0.0940974052074	20621.78701	-0.160815655675	22127.13178	-0.0750030571404	18222.76622	-0.0671178501384	17397.76952	-0.0108669269861
33786.04651	0.0215983109414	36448.79641	-0.106269447386	21555.28357	-0.155756692859	23803.50877	-0.0607666675411	19527.05018	-0.057257379004	20342.00743	-0.00122968625886
34722.15422	0.00283088436602	38122.56222	-0.0849653657055	23047.57242	-0.143793809212	25667.89066	-0.0592612501478	21202.77438	-0.0432142137263	23286.24535	0.0128136174452
35471.56263	-0.015535782292	40174.29621	-0.0941211256838	24167.11547	-0.13896253829	27716.36067	-0.0497865798084	23065.19788	-0.0357230932966	24892.19331	0.0125394870837
36406.36475	-0.0278970120363	41850.67319	-0.0906804504889	26218.19664	-0.127258480869	30881.10975	-0.0371276704302	23996.08323	-0.031922094042	28371.74721	0.0190226621508
37154.46756	-0.0396423074513	43899.14321	-0.0859590925087	26404.89595	-0.127759153525	33114.97348	-0.0320821954058	26602.03998	-0.0231026047173	31583.64312	0.0221173884313
37901.26479	-0.0443260664958	45947.61322	-0.0830622080018	28640.06528	-0.108884508478	35720.27744	-0.0248267871305	29765.48348	-0.0140268396546	35598.51301	0.0189103439744
38650.0204	-0.0604152168967	48926.31579	-0.076808725693	30316.44226	-0.0983394643116	38324.9286	-0.0167662319905	33487.7193	-0.0121376936131	39345.72491	0.0043601270258
39397.47042	-0.0694266864169	51531.61975	-0.0678904270404	31434.02694	-0.0928195727719	41673.76581	-0.0093201902403	36836.55651	-0.00739010325622	44966.54275	0.00487333083681
40890.41208	-0.0772666112837	54322.31742	-0.0565627188061	33482.49692	-0.0831132091165	47440.55488	0.00200328578594	40743.53325	-0.00414237850028	50319.7026	-0.00521734245382
42383.35373	-0.0862573615595	56555.52836	-0.052375819877	34971.52183	-0.0738709490856	50603.99837	0.00103191833873	43534.23093	-0.00273954024043	55405.20446	-3.28554206677e-05
44062.9947	-0.098131226904	60462.5051	-0.0411305521142	36646.59312	-0.0647697421527	55069.11465	0.00340458052924	47254.50836	0.001942461109	62631.97026	-7.95513925478e-06
45740.67727	-0.100201402475	63067.15626	-0.0350090837923	38322.31752	-0.0608133164176	58231.90534	0.00449590899198	51347.53162	0.00266029622774	70126.39405	-1.82757511324e-06
47605.05916	-0.105550343464	65113.66789	-0.0308454598493	39996.7362	-0.0512079370898	62698.32721	-0.00156015789097	55068.46185	0.00302511941911
48908.69033	-0.101981020653	68090.41208	-0.0256568991869	41485.10796	-0.043707159645	66047.16442	-0.00107272144108	58789.39208	0.00323532919416
50585.06732	-0.0999044396441	70509.01673	-0.0220908925003	43532.27244	-0.0383087829827	69582.04814	-0.000722382973891	63441.20767	-0.000143459631666
52820.23664	-0.0986414476649			45579.43692	-0.0342889451217			69580.74255	-5.77658252076e-05
55055.40596	-0.0989510804159			46510.3224	-0.0347850347349
57662.0155	-0.0949345063576			49487.06664	-0.0264900864526
58964.99388	-0.0917340299765			53580.08988	-0.0179338666382
60826.76459	-0.0899732637507			54696.36888	-0.0160570199374
63432.06854	-0.0821085150831			59719.62456	-0.00944563947667
65665.27948	-0.0769529363945			61580.0898	-0.00761003594369
67153.65157	-0.0715398832017			65859.1596	-0.00431360827677
70503.14157	-0.064351541626			69022.60308	-0.00605495935573
70689.18809	-0.0637949701223
